sample_id,sample_type,longitude,latitude,elevation_m,slope_deg,lulc_class,lulc_class_name
BG_259,background,93.539424,27.279927,1608.25,27.27,10,Tree cover
BG_260,background,93.486018,27.544188,1526.54,31.75,10,Tree cover
BG_261,background,94.049217,27.436815,1014.1,36.6,10,Tree cover
BG_262,background,93.592511,27.230419,1133.95,31.42,10,Tree cover
BG_263,background,93.304676,27.231612,1199.19,8.95,10,Tree cover
BG_264,background,93.486947,27.340787,1463.85,11.75,10,Tree cover
BG_265,background,93.566966,27.331277,1986.21,25.28,10,Tree cover
BG_266,background,93.329234,27.544106,3449.01,29.09,10,Tree cover
BG_267,background,93.342319,27.452261,3073.16,20.15,10,Tree cover
BG_268,background,93.560572,27.023083,422.32,5.11,10,Tree cover
BG_269,background,93.439138,27.522136,1636.29,40.22,10,Tree cover
BG_270,background,93.215989,27.120999,1785.11,35.47,10,Tree cover
BG_271,background,93.564054,27.054217,407.85,8.55,10,Tree cover
BG_272,background,93.54541,27.449989,1830.34,15.71,10,Tree cover
BG_273,background,93.68673,27.179613,1198.1,30.43,10,Tree cover
BG_274,background,93.565735,27.20805,1060.21,39.55,10,Tree cover
BG_275,background,93.36139,27.528318,2793.09,49.42,10,Tree cover
BG_276,background,93.333502,27.548971,3475.73,28.66,10,Tree cover
BG_277,background,93.479491,26.944564,154.3,9.45,10,Tree cover
BG_278,background,93.447849,27.572753,2269.14,22.97,10,Tree cover
BG_279,background,93.893418,27.312509,521.91,25.04,10,Tree cover
BG_280,background,93.319075,27.603713,3132.96,17.73,10,Tree cover
BG_281,background,93.372538,27.320014,2195.45,32.11,10,Tree cover
BG_282,background,93.475687,27.544224,1666.01,11.42,10,Tree cover
BG_283,background,93.57369,27.400313,1711.09,2.87,10,Tree cover
BG_284,background,93.448705,27.484188,2257.11,34.82,10,Tree cover
BG_285,background,93.521489,27.26889,1182.88,24.38,10,Tree cover
BG_286,background,93.62802,27.241098,1518.54,31.46,10,Tree cover
BG_287,background,93.50478,26.990521,484.04,29.88,10,Tree cover
BG_288,background,93.805333,27.290565,686.64,37.82,10,Tree cover
BG_289,background,93.5637,27.104325,790.09,32.53,10,Tree cover
BG_290,background,93.544218,27.392577,1264.52,27.55,10,Tree cover
BG_291,background,93.487158,27.595912,2531.12,19.04,10,Tree cover
BG_292,background,93.708505,27.222839,541.95,40.13,10,Tree cover
BG_293,background,93.794115,27.162254,303.9,22.78,10,Tree cover
BG_294,background,93.371616,27.041856,261.03,25.21,10,Tree cover
BG_295,background,93.476709,27.357886,1845.25,18.42,30,Grassland
BG_296,background,93.411636,27.478615,2797.79,43.38,10,Tree cover
BG_297,background,93.541276,27.349254,1451.85,37.42,10,Tree cover
BG_298,background,93.39119,27.104099,880.92,27.43,10,Tree cover
BG_299,background,93.398263,27.221085,1197.37,28.08,10,Tree cover
BG_300,background,93.503357,27.414939,1771.89,15.03,10,Tree cover
